nomApplication;typeEnvironnement;nomEquipementVirtuel;nomSourceDonneeEquipementVirtuel;domaine;sousDomaine;nomEntite;nomSourceDonnee;nomEquipementPhysique
application-8;Recette;virtual-eq-1610;;Domain 8;Sub Domain 2;ACME BRAND A France;;physical-eq-1269
application-11;Developpement;virtual-eq-909;;Domain 11;Sub Domain 2;ACME SERVICES;;physical-eq-1078
application-12;Pre-production;virtual-eq-2407;;Domain 12;Sub Domain 3;ACME BRAND A France;;physical-eq-1071
application-14;Pre-production;virtual-eq-736;;Domain 14;Sub Domain 2;ACME SERVICES;;physical-eq-1235
application-15;Production;virtual-eq-115;;Domain 15;Sub Domain 3;ACME BRAND A France;;physical-eq-1213
application-17;Pre-production;virtual-eq-4181;;Domain 17;Sub Domain 2;ACME BRAND A France;;physical-eq-1012
application-21;Pre-production;virtual-eq-2103;;Domain 21;Sub Domain 3;ACME SERVICES;;physical-eq-1193
application-22;Recette;virtual-eq-1084;;Domain 22;Sub Domain 1;ACME SERVICES;;physical-eq-1155
application-25;Pre-production;virtual-eq-1065;;Domain 25;Sub Domain 1;ACME SERVICES;;physical-eq-1002
application-26;Production;virtual-eq-3665;;Domain 26;Sub Domain 2;ACME BRAND A China;;physical-eq-1143
application-28;Production;virtual-eq-1323;;Domain 28;Sub Domain 1;ACME SERVICES;;physical-eq-1193
application-29;Test;virtual-eq-3228;;Domain 1;Sub Domain 2;ACME SERVICES;;physical-eq-1096
application-31;Production;virtual-eq-1915;;Domain 30;Sub Domain 1;ACME SERVICES;;physical-eq-1268
application-32;Pre-production;virtual-eq-1918;;Domain 12;Sub Domain 2;ACME BRAND A France;;physical-eq-1095
application-34;Production;virtual-eq-1087;;Domain 31;Sub Domain 1;ACME SERVICES;;physical-eq-1054
application-35;Production;virtual-eq-1094;;Domain 21;Sub Domain 2;ACME SERVICES;;physical-eq-1050
application-36;Pre-production;virtual-eq-3557;;Domain 32;Sub Domain 3;ACME BRAND A France;;physical-eq-997
application-38;Production;virtual-eq-1054;;Domain 9;Sub Domain 2;ACME SERVICES;;physical-eq-1117
application-45;Developpement;virtual-eq-2394;;Domain 38;Sub Domain 3;ACME SERVICES;;physical-eq-1120
application-46;Production;virtual-eq-2281;;Domain 37;Sub Domain 1;ACME SERVICES;;physical-eq-1147
application-49;Production;virtual-eq-1145;;Domain 41;Sub Domain 1;ACME SERVICES;;physical-eq-1257
application-50;Pre-production;virtual-eq-179;;Domain 42;Sub Domain 2;ACME SERVICES;;physical-eq-1021
application-51;Pre-production;virtual-eq-2294;;Domain 43;Sub Domain 3;ACME SERVICES;;physical-eq-1098
application-52;Debug;virtual-eq-2452;;Domain 44;Sub Domain 1;ACME SERVICES;;physical-eq-1214
application-53;Pre-production;virtual-eq-1132;;Domain 13;Sub Domain 2;ACME SERVICES;;physical-eq-1191
application-56;Production;virtual-eq-1367;;Domain 28;Sub Domain 2;ACME SERVICES;;physical-eq-1147
application-57;Production;virtual-eq-1342;;Domain 45;Sub Domain 3;ACME SERVICES;;physical-eq-1063
application-58;Production;virtual-eq-3144;;Domain 46;Sub Domain 1;ACME SERVICES;;physical-eq-1184
application-59;Recette;virtual-eq-128;;Domain 47;Sub Domain 2;ACME SERVICES;;physical-eq-1096
application-60;Production;virtual-eq-3953;;Domain 48;Sub Domain 3;ACME BRAND A France;;physical-eq-1150
application-61;Pre-production;virtual-eq-1642;;Domain 49;Sub Domain 1;ACME BRAND A France;;physical-eq-1008
application-63;Production;virtual-eq-936;;Domain 51;Sub Domain 3;ACME SERVICES;;physical-eq-1191
application-65;Pre-production;virtual-eq-671;;Domain 53;Sub Domain 2;ACME SERVICES;;physical-eq-1143
application-66;Production;virtual-eq-1234;;Domain 54;Sub Domain 3;ACME SERVICES;;physical-eq-1071
application-67;Pre-production;virtual-eq-3012;;Domain 55;Sub Domain 1;ACME SERVICES;;physical-eq-1184
application-68;Recette;virtual-eq-3014;;Domain 28;Sub Domain 2;ACME SERVICES;;physical-eq-1092
application-72;Production;virtual-eq-320;;Domain 57;Sub Domain 3;BRAND E Spain;;physical-eq-1265
application-74;Production;virtual-eq-2700;;Domain 58;Sub Domain 2;ACME BRAND A France;;physical-eq-1132
application-75;Test;virtual-eq-1045;;Domain 59;Sub Domain 3;BRAND F Italy;;physical-eq-1267
application-76;Pre-production;virtual-eq-2340;;Domain 60;Sub Domain 1;ACME BRAND A France;;physical-eq-994
application-77;Production;virtual-eq-2347;;Domain 16;Sub Domain 2;ACME BRAND A France;;physical-eq-1054
application-81;Pre-production;virtual-eq-2514;;Domain 62;Sub Domain 3;BRAND F Italy;;physical-eq-1164
application-84;Production;virtual-eq-2165;;Domain 64;Sub Domain 3;ACME SERVICES;;physical-eq-1117
application-85;Developpement;virtual-eq-2330;;Domain 65;Sub Domain 1;ACME BRAND A France;;physical-eq-1094
application-86;Production;virtual-eq-2337;;Domain 21;Sub Domain 2;ACME SERVICES;;physical-eq-1174
application-87;Production;virtual-eq-2140;;Domain 66;Sub Domain 3;ACME BRAND A France;;physical-eq-1117
application-88;Production;virtual-eq-480;;Domain 67;Sub Domain 1;ACME BRAND A France;;physical-eq-1058
application-90;Production;virtual-eq-2535;;Domain 32;Sub Domain 3;ACME BRAND A France;;physical-eq-1106
application-92;Pre-production;virtual-eq-8;;Domain 69;Sub Domain 2;ACME SERVICES;;physical-eq-1038
application-93;Production;virtual-eq-14;;Domain 70;Sub Domain 3;ACME SERVICES;;physical-eq-1164
application-97;Production;virtual-eq-1026;;Domain 73;Sub Domain 1;ACME BRAND A France;;physical-eq-1055
application-99;Pre-production;virtual-eq-2964;;Domain 48;Sub Domain 3;ACME BRAND A France;;physical-eq-1034
application-100;Qualification;virtual-eq-503;;Domain 75;Sub Domain 1;ACME SERVICES;;physical-eq-1272
application-103;Production;virtual-eq-3687;;Domain 77;Sub Domain 1;ACME SERVICES;;physical-eq-990
application-104;Production;virtual-eq-2995;;Domain 78;Sub Domain 2;ACME BRAND A Italy;;physical-eq-1090
application-106;Production;virtual-eq-3000;;Domain 79;Sub Domain 1;ACME SERVICES;;physical-eq-1090
application-107;Pre-production;virtual-eq-3031;;Domain 33;Sub Domain 2;ACME SERVICES;;physical-eq-1157
application-108;Production;virtual-eq-559;;Domain 70;Sub Domain 3;ACME SERVICES;;physical-eq-1272
application-109;Production;virtual-eq-1368;;Domain 45;Sub Domain 1;ACME SERVICES;;physical-eq-1071
application-110;Production;virtual-eq-2475;;Domain 80;Sub Domain 2;BRAND F Italy;;physical-eq-1267
application-111;Test;virtual-eq-562;;Domain 72;Sub Domain 3;BRAND F Italy;;physical-eq-1149
