nomEquipementVirtuel;nomEquipementPhysique;nomSourceDonneeEquipementPhysique;vCPU;nomEntite;cluster;consoElecAn;typeEqv;cleRepartition;nomSourceDonnee;capaciteStockage
virtual-eq-1;physical-eq-1027;;4;;PY1LNX02;;calcul;;;
virtual-eq-2;physical-eq-1051;;2;;DZ2LNX02;;calcul;;;
virtual-eq-3;physical-eq-1015;;2;;PY1LNX04;;calcul;;;
virtual-eq-4;physical-eq-1084;;16;;PZ2MGT01;;calcul;;;
virtual-eq-5;physical-eq-1034;;2;;PY1LNX04;;calcul;;;
virtual-eq-6;physical-eq-1259;;8;;PY1HOS01;;calcul;;;
virtual-eq-7;physical-eq-1194;;2;;PZ2MGT01;;calcul;;;
virtual-eq-8;physical-eq-1038;;8;;PY1ORA01;;calcul;;;
virtual-eq-9;physical-eq-1215;;6;;PZ2ORA01;;calcul;;;
virtual-eq-10;physical-eq-1053;;12;;PZ2ORA01;;calcul;;;
virtual-eq-12;physical-eq-1117;;4;;PZ2LNX01;;calcul;;;
virtual-eq-13;physical-eq-1051;;1;;DZ2LNX02;;calcul;;;
virtual-eq-14;physical-eq-1164;;1;;PZ2LNX01;;calcul;;;
virtual-eq-15;physical-eq-1154;;4;;PZ2LNX02;;calcul;;;
virtual-eq-16;physical-eq-1029;;1;;PY1WRP01;;calcul;;;
virtual-eq-17;physical-eq-1164;;2;;PZ2LNX01;;calcul;;;
virtual-eq-18;physical-eq-1146;;2;;DZ2LNX02;;calcul;;;
virtual-eq-19;physical-eq-1001;;4;;PY1LNX04;;calcul;;;
virtual-eq-20;physical-eq-1258;;2;;PY1HOS01;;calcul;;;
virtual-eq-21;physical-eq-1095;;4;;PZ2LNX01;;calcul;;;
virtual-eq-22;physical-eq-1254;;4;;PY1HOS01;;calcul;;;
virtual-eq-23;physical-eq-1117;;12;;PZ2LNX01;;calcul;;;
virtual-eq-24;physical-eq-1040;;4;;PY1MGT01;;calcul;;;
virtual-eq-25;physical-eq-1134;;1;;PZ2WRP;;calcul;;;
virtual-eq-26;physical-eq-1091;;12;;PZ2LNX02;;calcul;;;
virtual-eq-28;physical-eq-1159;;2;;DZ2LNX02;;calcul;;;
virtual-eq-29;physical-eq-1257;;2;;PY1HOS01;;calcul;;;
virtual-eq-30;physical-eq-1256;;8;;PY1HOS01;;calcul;;;
virtual-eq-31;physical-eq-1009;;1;;PY1WRP01;;calcul;;;
virtual-eq-33;physical-eq-1070;;2;;PZ2LNX03;;calcul;;;
virtual-eq-34;physical-eq-1084;;16;;PZ2MGT01;;calcul;;;
virtual-eq-35;physical-eq-1008;;1;;PY1LNX02;;calcul;;;
virtual-eq-36;physical-eq-1106;;6;;PZ2LNX03;;calcul;;;
virtual-eq-37;physical-eq-1254;;4;;PY1HOS01;;calcul;;;
virtual-eq-39;physical-eq-1123;;1;;DZ2LNX02;;calcul;;;
virtual-eq-40;physical-eq-1191;;2;;PZ2LNX02;;calcul;;;
virtual-eq-41;physical-eq-1255;;8;;PY1HOS01;;calcul;;;
virtual-eq-42;physical-eq-1201;;8;;PZ2ORA01;;calcul;;;
virtual-eq-43;physical-eq-1123;;1;;DZ2LNX02;;calcul;;;
virtual-eq-44;physical-eq-1254;;2;;PY1HOS01;;calcul;;;
virtual-eq-45;physical-eq-1123;;1;;DZ2LNX02;;calcul;;;
virtual-eq-46;physical-eq-1116;;1;;DZ2LNX02;;calcul;;;
virtual-eq-47;physical-eq-1004;;8;;PY1ORA01;;calcul;;;
virtual-eq-48;physical-eq-1157;;4;;PZ2LNX03;;calcul;;;
virtual-eq-50;physical-eq-1072;;1;;DZ2LNX01;;calcul;;;
virtual-eq-51;physical-eq-1006;;16;;PY1MGT01;;calcul;;;
virtual-eq-53;physical-eq-1155;;8;;DZ2WIN01;;calcul;;;
virtual-eq-54;physical-eq-1078;;2;;DZ2LNX02;;calcul;;;
virtual-eq-55;physical-eq-1258;;2;;PY1HOS01;;calcul;;;
virtual-eq-58;physical-eq-1273;;4;;PZ2HOS01;;calcul;;;
virtual-eq-59;physical-eq-1110;;1;;PZ2WRP;;calcul;;;
virtual-eq-60;physical-eq-1261;;1;;PZ2HOS01;;calcul;;;
virtual-eq-63;physical-eq-1258;;1;;PY1HOS01;;calcul;;;
